Replace Part * W25Q16DVSNIG in D:\BTL_SCT\Sheet1.SchDoc with W25Q16DVSNIG from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_0805 in D:\BTL_SCT\Sheet1.SchDoc with CAP_0805 from Schlib1.SchLib
Replace Part C? CAP_0805 in D:\BTL_SCT\Sheet1.SchDoc with CAP_0805 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part C? CAP_1206 in D:\BTL_SCT\Sheet1.SchDoc with CAP_1206 from Schlib1.SchLib
Replace Part L? Inductor_0805 in D:\BTL_SCT\Sheet1.SchDoc with Inductor_0805 from Schlib1.SchLib
Replace Part L? Inductor_0805 in D:\BTL_SCT\Sheet1.SchDoc with Inductor_0805 from Schlib1.SchLib
Replace Part R? RES_0R0_1206 in D:\BTL_SCT\Sheet1.SchDoc with RES_0R0_1206 from Schlib1.SchLib
Replace Part R? RES_0R0_1206 in D:\BTL_SCT\Sheet1.SchDoc with RES_0R0_1206 from Schlib1.SchLib
Replace Part U? ESP32-C3FH4 in D:\BTL_SCT\Sheet1.SchDoc with ESP32-C3FH4 from Schlib1.SchLib
